date,customer_id,order_id,product_id,product_name,brand,warehouse_id,city,state,region,supplier_id,selling_price,procurement_cost,discount_percent,promotion,promotion_name,holiday_flag,festival_flag,weekend,month,day_of_week,units_sold,inventory_level,reorder_point,safety_stock,supplier_lead_time_days,lead_time_variability,stockout_flag,inventory_turnover,delivery_time_days,return_quantity,shipping_cost,profit_margin,demand_trend,delivery_status,category_Electronics,category_Fashion,category_Grocery,category_Home,promotion_type_Buy 1 Get 1,promotion_type_Cashback,promotion_type_Flat Discount,promotion_type_Percentage Discount,promotion_type_No Promotion,festival_name_Dussehra,festival_name_Holi,festival_name_Sankranti,festival_name_Ugadi,holiday_name_Independence Day,holiday_name_New Year,holiday_name_Republic Day,payment_method_Credit Card,payment_method_Debit Card,payment_method_Net Banking,payment_method_UPI,payment_method_Wallet,weather_Cold,weather_Hot,weather_Humid,weather_Rainy,weather_Sunny
2024-06-22,CUST100000,ORD202300000,P1096,Lakme Beaut 16,5,9,Vijayawada,Andhra Pradesh,South,9,21207.75,18111.39,25,1,Diwali Sale,No,No,Yes,June,Saturday,45,175,61,22,2,Low,No,0.26,6,1,285.54,14.6,Stable,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-02-20,CUST100001,ORD202300001,P1077,Prestige Hom 17,13,7,Kochi,Kerala,South,48,24413.2,26686.94,30,1,Great Indian Festival,No,No,No,February,Thursday,21,195,76,23,12,High,No,0.11,3,2,74.58,-9.31,Stable,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2024-06-23,CUST100002,ORD202300002,P1065,Milton Hom 5,8,2,Mumbai,Maharashtra,West,23,33471.0,25693.33,0,0,No Promotion,No,No,Yes,June,Sunday,51,214,62,39,5,Low,No,0.24,7,1,207.21,23.24,Decreasing,2,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-09-27,CUST100003,ORD202300003,P1003,Sony Electronic 3,16,1,Bengaluru,Karnataka,South,48,19190.4,14629.4,20,1,End of Season Sale,No,No,Yes,September,Saturday,58,203,35,22,9,Low,No,0.29,5,1,79.8,23.77,Stable,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-12-16,CUST100004,ORD202300004,P1078,Prestige Hom 18,13,6,Ahmedabad,Gujarat,West,33,8448.0,10172.33,40,1,Diwali Sale,No,No,No,December,Tuesday,59,161,72,40,7,Medium,No,0.37,4,0,116.85,-20.41,Increasing,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2024-04-16,CUST100005,ORD202300005,P1076,Philips Hom 16,12,3,Chennai,Tamil Nadu,South,4,671.0,487.79,0,0,No Promotion,No,No,No,April,Tuesday,12,70,34,48,2,Medium,No,0.17,5,1,126.33,27.3,Stable,2,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-26,CUST100006,ORD202300006,P1032,Nike Fashio 12,10,7,Kochi,Kerala,South,3,24189.3,15433.65,10,1,Big Billion Days,No,No,No,August,Tuesday,75,165,57,33,9,High,No,0.45,6,0,58.79,36.2,Decreasing,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2024-01-28,CUST100007,ORD202300007,P1025,Puma Fashio 5,14,8,Lucknow,Uttar Pradesh,North,3,22200.0,17637.81,25,1,Big Billion Days,No,No,Yes,January,Sunday,87,150,34,34,10,Low,No,0.58,6,0,340.39,20.55,Increasing,3,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-09-12,CUST100008,ORD202300008,P1028,Puma Fashio 8,14,6,Ahmedabad,Gujarat,West,27,3031.5,2225.28,25,1,Big Billion Days,No,No,No,September,Friday,69,136,80,45,9,Medium,No,0.51,6,3,87.99,26.59,Stable,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2023-05-05,CUST100009,ORD202300009,P1096,Lakme Beaut 16,5,5,Kolkata,West Bengal,East,11,3946.0,2746.59,0,0,No Promotion,No,No,No,May,Friday,69,204,40,21,10,Low,No,0.34,1,0,249.32,30.4,Increasing,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
