customer_id,order_id,product_id,product_name,category,brand,warehouse_id,city,state,region,supplier_id,selling_price,procurement_cost,discount_percent,promotion,promotion_name,promotion_type,holiday_flag,holiday_name,festival_flag,festival_name,weekend,month,day_of_week,units_sold,inventory_level,reorder_point,safety_stock,supplier_lead_time_days,lead_time_variability,stockout_flag,inventory_turnover,delivery_time_days,return_quantity,shipping_cost,profit_margin,demand_trend,weather,payment_method,delivery_status,year,quarter,week,day,day_of_year,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,season,lag_1,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_min_7,rolling_max_7,rolling_mean_14,rolling_std_14,rolling_min_14,rolling_max_14,rolling_mean_30,rolling_std_30,rolling_min_30,rolling_max_30,ema_7,ema_14,ema_30,expanding_mean,difference_1,difference_7,growth_rate,month_sin,month_cos,weekday_sin,weekday_cos
2559,2559,0,85,1,15,9,9,0,2,41,32616.75,27612.87,25,1,3,0,0,3,0,0,0,2,4,89,154,55,27,11,1,0,0.58,6,2,213.71,15.34,0,2,0,2,2023,1,6,10,41,0,0,0,0,0,0,0.0,0.0,0.0,0.0,89.0,0.0,89.0,89.0,89.0,0.0,89.0,89.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
1873,1873,0,85,1,15,5,5,9,0,45,9777.0,7412.7,25,1,2,1,0,3,0,0,0,2,4,86,194,32,30,8,0,0,0.44,4,0,286.42,24.18,1,3,5,3,2023,1,8,24,55,0,0,0,0,0,0,89.0,0.0,0.0,0.0,87.5,2.1213203435596424,86.0,89.0,87.5,2.1213203435596424,86.0,89.0,87.5,2.1213203435596424,86.0,89.0,88.25,88.60000000000001,88.80645161290323,87.5,-3.0,0.0,-0.0337078651685393,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
3046,3046,0,85,1,15,2,7,5,3,11,30837.6,21632.21,20,1,5,3,0,3,0,0,0,2,1,31,108,58,28,12,2,0,0.29,5,0,259.57,29.85,2,4,1,2,2023,1,9,28,59,0,0,1,0,0,0,86.0,0.0,0.0,0.0,68.66666666666667,32.65475973473597,31.0,89.0,68.66666666666667,32.65475973473597,31.0,89.0,68.66666666666667,32.65475973473597,31.0,89.0,73.9375,80.92000000000002,85.07700312174819,68.66666666666667,-55.0,0.0,-0.6395348837209303,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2954,2954,0,85,1,15,5,5,9,0,17,35924.0,34466.51,20,1,5,3,0,3,0,0,1,3,6,94,98,35,45,5,1,0,0.96,2,1,169.05,4.06,2,2,2,2,2023,1,9,5,64,1,0,0,0,0,1,31.0,0.0,0.0,0.0,75.0,29.518355871107275,31.0,94.0,75.0,29.518355871107275,31.0,94.0,75.0,29.518355871107275,31.0,94.0,78.953125,82.66400000000002,85.65268033969993,75.0,63.0,0.0,2.032258064516129,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
432,432,0,85,1,15,4,8,1,1,37,24948.75,20811.48,25,1,1,2,0,3,0,0,0,4,1,70,241,53,24,10,1,0,0.29,2,2,92.66,16.58,2,4,3,2,2023,2,14,4,94,0,0,0,0,0,1,94.0,0.0,0.0,0.0,74.0,25.66125484071268,31.0,94.0,74.0,25.66125484071268,31.0,94.0,74.0,25.66125484071268,31.0,94.0,76.71484375,80.97546666666668,84.64282999520316,74.0,-24.0,0.0,-0.25531914893617025,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
346,346,0,85,1,15,8,6,8,1,40,23743.0,18170.8,0,0,4,4,0,3,0,0,0,4,2,8,68,57,42,11,2,0,0.12,3,3,165.87,23.47,2,1,1,4,2023,2,16,19,109,0,0,0,0,0,1,70.0,0.0,0.0,0.0,63.0,35.3949148890063,8.0,94.0,63.0,35.3949148890063,8.0,94.0,63.0,35.3949148890063,8.0,94.0,59.5361328125,71.24540444444445,79.69813128583522,63.0,-62.0,0.0,-0.8857142857142857,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434
2092,2092,0,85,1,15,9,9,0,2,40,32045.4,23193.93,10,1,3,0,0,3,0,0,0,4,2,53,112,58,49,9,1,0,0.47,6,1,69.73,27.62,2,5,5,2,2023,2,16,19,109,0,0,0,0,0,1,8.0,0.0,0.0,0.0,61.57142857142857,32.531303605692074,8.0,94.0,61.57142857142857,32.531303605692074,8.0,94.0,61.57142857142857,32.531303605692074,8.0,94.0,57.902099609375,68.81268385185186,77.97567120287812,61.57142857142857,45.0,0.0,5.625,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434
73,73,0,85,1,15,3,2,6,2,27,16960.05,14785.98,15,1,0,4,0,3,0,0,1,4,6,65,148,37,20,9,0,0,0.44,2,1,157.86,12.82,0,0,0,1,2023,2,16,23,113,1,0,0,0,0,1,53.0,89.0,0.0,0.0,58.142857142857146,30.350335371176005,8.0,94.0,62.0,30.14251861692099,8.0,94.0,62.0,30.14251861692099,8.0,94.0,59.67657470703125,68.30432600493828,77.13853112527308,62.0,12.0,-24.0,0.2264150943396226,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334
1239,1239,0,85,1,15,3,2,6,2,49,15627.6,15528.85,40,1,0,4,0,3,0,0,0,4,2,31,48,75,44,9,1,0,0.65,6,1,236.33,0.63,2,2,1,3,2023,2,17,26,116,0,0,0,0,0,1,65.0,86.0,0.0,0.0,50.285714285714285,29.027080951611868,8.0,94.0,58.55555555555556,30.02961501214722,8.0,94.0,58.55555555555556,30.02961501214722,8.0,94.0,52.50743103027344,63.33041587094651,74.16185169783611,58.55555555555556,-34.0,-55.0,-0.523076923076923,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434
2970,2970,0,85,1,15,1,1,3,2,21,2647.2,2654.96,40,1,0,4,0,3,0,0,0,5,3,22,53,56,34,11,2,0,0.42,3,3,241.67,-0.29,1,0,1,1,2023,2,18,4,124,0,0,0,0,0,1,31.0,31.0,0.0,0.0,49.0,30.199337741083,8.0,94.0,54.9,30.58122154380219,8.0,94.0,54.9,30.58122154380219,8.0,94.0,44.88057327270508,57.81969375482031,70.79657094313701,54.9,-9.0,-9.0,-0.29032258064516125,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
