date,customer_id,order_id,product_id,product_name,brand,warehouse_id,city,state,region,supplier_id,selling_price,procurement_cost,discount_percent,promotion,promotion_name,holiday_flag,festival_flag,weekend,month,day_of_week,units_sold,inventory_level,reorder_point,safety_stock,supplier_lead_time_days,lead_time_variability,stockout_flag,inventory_turnover,delivery_time_days,return_quantity,shipping_cost,profit_margin,demand_trend,delivery_status,category_Electronics,category_Fashion,category_Grocery,category_Home,promotion_type_Buy 1 Get 1,promotion_type_Cashback,promotion_type_Flat Discount,promotion_type_Percentage Discount,promotion_type_No Promotion,festival_name_Dussehra,festival_name_Holi,festival_name_Sankranti,festival_name_Ugadi,holiday_name_Independence Day,holiday_name_New Year,holiday_name_Republic Day,payment_method_Credit Card,payment_method_Debit Card,payment_method_Net Banking,payment_method_UPI,payment_method_Wallet,weather_Cold,weather_Hot,weather_Humid,weather_Rainy,weather_Sunny
2024-06-22,CUST100000,ORD202300000,P1096,Lakme Beaut 16,5,9,Vijayawada,Andhra Pradesh,South,9,0.1011068850312882,0.12091758103625533,0.4022148845900283,1,Diwali Sale,No,No,Yes,June,Saturday,45,0.25450059731973174,0.39770077343159654,-1.4450590294245824,-1.6371075217104396,Low,No,-0.7419257530162237,1.000935672979468,1,1.0293292486457353,0.06604318064536142,Stable,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-02-20,CUST100001,ORD202300001,P1077,Prestige Hom 17,13,7,Kochi,Kerala,South,48,0.3669903313623433,0.9753602040034354,0.8048323866821486,1,Great Indian Festival,No,No,No,February,Thursday,21,0.5746996327236367,1.4140065421927042,-1.3344181016541103,1.5405080095598234,High,No,-1.4420758816883443,-0.4875182870375857,2,-1.3253483920754576,-1.351602147980055,Stable,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2024-06-23,CUST100002,ORD202300002,P1065,Milton Hom 5,8,2,Mumbai,Maharashtra,West,23,1.118310451837606,0.8763598209835222,-1.6108726258705734,0,No Promotion,No,No,Yes,June,Sunday,51,0.8788887163573463,0.4654544913490037,0.43583674267344374,-0.6838228623293606,Low,No,-0.8352791035058398,1.4970869929851525,1,0.1550312793734038,0.5783165239880463,Decreasing,2,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-09-27,CUST100003,ORD202300003,P1003,Sony Electronic 3,16,1,Bengaluru,Karnataka,South,48,-0.06622686544242173,-0.22601767894654362,-0.0004026175020920403,1,End of Season Sale,No,No,Yes,September,Saturday,58,0.7027792468851987,-1.36389589242099,-1.4450590294245824,0.5872233501787445,Low,No,-0.6018957272817996,0.5047843529737834,1,-1.2670841842419127,0.6097406989847621,Stable,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-12-16,CUST100004,ORD202300004,P1078,Prestige Hom 18,13,6,Ahmedabad,Gujarat,West,33,-0.9572800198721356,-0.670107047155968,1.6100673908663894,1,Diwali Sale,No,No,No,December,Tuesday,59,0.030361272536998263,1.1429916705230754,0.5464776704439159,-0.04829975607530804,Medium,No,-0.22848232532333532,0.008633032968098841,0,-0.8535422493314075,-2.0097310960244767,Increasing,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2024-04-16,CUST100005,ORD202300005,P1076,Philips Hom 16,12,3,Chennai,Tamil Nadu,South,4,-1.6023612290991132,-1.6350461775709937,-1.6108726258705734,0,No Promotion,No,No,No,April,Tuesday,12,-1.4265443385507692,-1.4316496103383973,1.4316050926076929,-1.6371075217104396,Medium,No,-1.162015830219496,0.5047843529737834,1,-0.7477290902773834,0.8190375626421323,Stable,2,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-26,CUST100006,ORD202300006,P1032,Nike Fashio 12,10,7,Kochi,Kerala,South,3,0.34841842924765626,-0.14588457033877447,-0.8056376216863328,1,Big Billion Days,No,No,No,August,Tuesday,75,0.09440107961777926,0.1266859017619678,-0.228008823949389,0.5872233501787445,High,No,0.14493107663512905,1.000935672979468,0,-1.5015920399091116,1.3467265390020742,Decreasing,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2024-01-28,CUST100007,ORD202300007,P1025,Puma Fashio 5,14,8,Lucknow,Uttar Pradesh,North,3,0.18341135074499124,0.07373146033439999,0.4022148845900283,1,Big Billion Days,No,No,Yes,January,Sunday,87,-0.14574819693514945,-1.4316496103383973,-0.11736789617891688,0.9049849033057709,Low,No,0.7517278548176333,1.000935672979468,0,1.6415498999235003,0.41882401315565965,Increasing,3,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-09-12,CUST100008,ORD202300008,P1028,Puma Fashio 8,14,6,Ahmedabad,Gujarat,West,27,-1.4065641101097497,-1.4619277754884166,0.4022148845900283,1,Big Billion Days,No,No,No,September,Friday,69,-0.3698875217178829,1.685021413862333,1.0996823092962764,0.5872233501787445,Medium,No,0.42499112810397727,1.000935672979468,3,-1.1756696512616958,0.7769410263257773,Stable,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2023-05-05,CUST100009,ORD202300009,P1096,Lakme Beaut 16,5,5,Kolkata,West Bengal,East,11,-1.3307087975421694,-1.4099859777286203,-1.6108726258705734,0,No Promotion,No,No,No,May,Friday,69,0.7187891986553939,-1.0251273028339543,-1.5556999571950545,0.9049849033057709,Low,No,-0.3685123510577593,-1.4798209270489548,0,0.6250515460152761,1.0028393409248084,Increasing,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
