Feature,Importance
rolling_mean_7,0.3252104305673629
inventory_level,0.28642263296401704
rolling_std_7,0.09374190578115559
inventory_gap,0.06681306545058728
promotion_type,0.034337241536562195
lag_1,0.03315050011690792
discount_amount,0.023476577712935678
promotion,0.020728050245312955
day_sin,0.016085290666030833
selling_price,0.010824331103779705
rolling_mean_30,0.010033105175478611
profit_per_unit,0.009501602622081842
inventory_ratio,0.00852884666805494
procurement_cost,0.007353980597766919
lag_7,0.006721519051156836
festival_flag,0.0059827695888959075
lag_30,0.005466073552571307
day_of_week,0.005301163247739769
reorder_point,0.004569545641961021
day_cos,0.0034355099078453616
discount_price,0.003191223727897878
safety_stock,0.0027643431404164834
region,0.0024488424501713695
supplier_lead_time_days,0.0021342850418080194
total_delivery_days,0.002045294380623665
delivery_time_days,0.002008451312559132
weather,0.00186575772121203
category,0.0014869853487813472
payment_method,0.0012083016938870693
month_sin,0.0008838088628563873
day,0.0007716902834688564
month,0.0004456759292766382
month_cos,0.0004367283396191088
discount_percent,0.0002897966772317356
year,0.0002551071866177953
quarter,7.95657053679298e-05
holiday_flag,0.0
is_weekend,0.0
weekend,0.0
week_of_year,0.0
